Order ID,Order Date,Customer Name,Country,State,Region
KL-2018-5607031,01-01-2018,Lani Bowers,Austria,Vienna,Central
KL-2018-5607032,01-01-2018,Lana Adkins,Austria,Vienna,Central
KL-2018-5607033,03-01-2018,Sopoline Noel,Austria,Vienna,Central
KL-2018-5607034,03-01-2018,Abbot Horton,Germany,Lower Saxony,Central
KL-2018-5607035,04-01-2018,Hedda Livingston,Germany,Lower Saxony,Central
KL-2018-5607036,05-01-2018,Henry Hodges,Germany,Lower Saxony,Central
KL-2018-5607037,05-01-2018,Aristotle Barrett,Germany,Lower Saxony,Central
KL-2018-5607038,05-01-2018,Wendy Neal,Germany,Lower Saxony,Central
KL-2018-5607039,05-01-2018,Raymond Mckenzie,Denmark,Hovedstaden,North
KL-2018-5607040,05-01-2018,Zephr Hickman,Spain,Valenciana,South
KL-2018-5607041,08-01-2018,Georgia Kane,Denmark,South Denmark,North
KL-2018-5607042,08-01-2018,Stella Dejesus,Italy,Lombardy,South
KL-2018-5607043,18-01-2018,Dahlia Porter,Italy,Sicily,South
KL-2018-5607044,18-01-2018,Ria Foster,Italy,Sicily,South
KL-2018-5607045,18-01-2018,Kiona Moore,France,Ile-de-France,Central
KL-2018-5607046,09-01-2018,Guinevere Sullivan,Germany,North Rhine-Westphalia,Central
KL-2018-5607047,09-01-2018,Ingrid Barnes,Belgium,Flemish Brabant,Central
KL-2018-5607048,09-01-2018,Quinlan Holcomb,Belgium,Flemish Brabant,Central
KL-2018-5607049,11-01-2018,Blair Mccullough,Italy,Tuscany,South
KL-2018-5607050,12-01-2018,Diana Guthrie,Italy,Tuscany,South
KL-2018-5607051,12-01-2018,Neville Ashley,Italy,Tuscany,South
KL-2018-5607052,12-01-2018,Adara Haynes,Italy,Sicily,South
KL-2018-5607053,12-01-2018,Sarah Harrell,Italy,Emilia-Romagna,South
KL-2018-5607054,12-01-2018,Helen Bright,Italy,Emilia-Romagna,South
KL-2018-5607055,12-01-2018,Upton Moran,Italy,Emilia-Romagna,South
KL-2018-5607056,13-01-2018,Carol Whitehead,Italy,Emilia-Romagna,South
KL-2018-5607057,13-01-2018,Roth Gilbert,Italy,Emilia-Romagna,South
KL-2018-5607058,13-01-2018,Chloe Rich,Germany,North Rhine-Westphalia,Central
KL-2018-5607059,13-01-2018,Kasper Washington,Germany,North Rhine-Westphalia,Central
KL-2018-5607060,13-01-2018,Genevieve Rowe,France,Ile-de-France,Central
KL-2018-5607061,14-01-2018,Amos Berg,Sweden,Stockholm,North
KL-2018-5607062,14-01-2018,Clarke Rollins,United Kingdom,England,North
KL-2018-5607063,14-01-2018,Lyle Workman,France,Auvergne-Rhône-Alpes,Central
KL-2018-5607064,15-01-2018,Axel Reed,United Kingdom,England,North
KL-2018-5607065,15-01-2018,Callie Carroll,United Kingdom,England,North
KL-2018-5607066,15-01-2018,Risa Dyer,France,Auvergne-Rhône-Alpes,Central
KL-2018-5607067,15-01-2018,Kyla Watson,France,Auvergne-Rhône-Alpes,Central
KL-2018-5607068,15-01-2018,Kirk Blake,France,Provence-Alpes-Côte d'Azur,Central
KL-2018-5607069,17-01-2018,Faith Ellis,France,Provence-Alpes-Côte d'Azur,Central
KL-2018-5607070,18-01-2018,Harper Duffy,France,Provence-Alpes-Côte d'Azur,Central
KL-2018-5607071,18-01-2018,Beatrice Burch,France,Languedoc-Roussillon-Midi-Pyrénées,Central
KL-2018-5607072,19-01-2018,Amir Fernandez,France,Languedoc-Roussillon-Midi-Pyrénées,Central
KL-2018-5607073,19-01-2018,Cassady Buchanan,Italy,Liguria,South
KL-2018-5607074,19-01-2018,Raja Gaines,Austria,Vienna,Central
KL-2018-5607075,20-01-2018,Cassandra Carey,Austria,Vienna,Central
KL-2018-5607076,21-01-2018,Felix Rojas,Spain,Murcia,South
KL-2018-5607077,22-01-2018,Simone Pierce,Spain,Murcia,South
KL-2018-5607078,22-01-2018,Phoebe Leblanc,United Kingdom,England,North
KL-2018-5607079,22-01-2018,Garrett Barker,United Kingdom,England,North
KL-2018-5607080,22-01-2018,Tobias Doyle,Germany,Lower Saxony,Central
KL-2018-5607081,22-01-2018,Heather Pugh,Germany,Lower Saxony,Central
KL-2018-5607082,24-01-2018,Austin Mcclain,Germany,Lower Saxony,Central
KL-2018-5607083,24-01-2018,Dustin Gray,Germany,Lower Saxony,Central
KL-2018-5607084,24-01-2018,Jamalia Workman,United Kingdom,England,North
KL-2018-5607085,24-01-2018,Kaden Serrano,United Kingdom,England,North
KL-2018-5607086,24-01-2018,Jonah Mcneil,Netherlands,South Holland,Central
KL-2018-5607087,24-01-2018,Nevada Mccarty,Netherlands,South Holland,Central
KL-2018-5607088,25-01-2018,Cameron Delaney,Netherlands,South Holland,Central
KL-2018-5607089,25-01-2018,Hedley Rodriguez,Netherlands,South Holland,Central
KL-2018-5607090,25-01-2018,Hilel Gomez,Sweden,Västra Götaland,North
KL-2018-5607091,26-01-2018,Cody Roberts,Spain,Madrid,South
KL-2018-5607092,26-01-2018,Arden Solomon,Norway,Oslo,North
KL-2018-5607093,26-01-2018,Nero Hayes,Norway,Oslo,North
